A_Low_1	B_Low_2	C_Low_3	D_Reg_1	E_Reg_2	F_Reg_3	G_High_1	H_High_2	I_High_3
A_Low_1	1	0.72583579702672	0.828263077011293	-0.331200416462982	-0.434402393082408	-0.311306175948855	-0.694123807477034	-0.699580597964713	-0.741286997098705
B_Low_2	0.72583579702672	1	0.763716975706366	-0.407685863758482	-0.523383791764656	-0.304305789708712	-0.641821695198574	-0.620281485590165	-0.689614227013607
C_Low_3	0.828263077011293	0.763716975706366	1	-0.357488046217818	-0.476273980707938	-0.340196248022566	-0.677564635353849	-0.677160842124461	-0.712980034731807
D_Reg_1	-0.331200416462982	-0.407685863758482	-0.357488046217818	1	0.579142488129059	0.528210961993733	-0.133292698423926	-0.141058055978158	-0.0979569091180034
E_Reg_2	-0.434402393082408	-0.523383791764656	-0.476273980707938	0.579142488129059	1	0.530947739138541	-0.0273789621309858	-0.0102455177032298	0.041907313504314
F_Reg_3	-0.311306175948855	-0.304305789708712	-0.340196248022566	0.528210961993733	0.530947739138541	1	-0.201764848422812	-0.18722330437625	-0.129104566329683
G_High_1	-0.694123807477034	-0.641821695198574	-0.677564635353849	-0.133292698423926	-0.0273789621309858	-0.201764848422812	1	0.800867924347668	0.833892094885925
H_High_2	-0.699580597964713	-0.620281485590165	-0.677160842124461	-0.141058055978158	-0.0102455177032298	-0.18722330437625	0.800867924347668	1	0.807733944678945
I_High_3	-0.741286997098705	-0.689614227013607	-0.712980034731807	-0.0979569091180034	0.041907313504314	-0.129104566329683	0.833892094885925	0.807733944678945	1
