A_Low_1	B_Low_2	C_Low_3	D_Reg_1	E_Reg_2	F_Reg_3	G_High_1	H_High_2	I_High_3
TRINITY_DN60441_c0_g1	0.170503874723318	0.254975675819346	-0.164473738337879	1.20995333801133	1.02568369546521	0.645298903396668	-1.13459113594338	-1.13459113594338	-0.872759477191242
TRINITY_DN53194_c0_g1	0.392492794213562	2.51997571946431	0.630444223628832	-0.683382072761565	-0.683382072761565	-0.683382072761565	-0.281751606176825	-0.527632840083621	-0.683382072761565
TRINITY_DN49077_c0_g1	0.849223864532542	1.24438809211957	0.78923325747375	0.112738848332435	-0.0357981492795261	-1.01006451178182	-0.644590748130419	-0.726037997945757	-0.579092655320781
TRINITY_DN28630_c0_g1	1.82186599693809	1.57242971610753	1.6155678664312	-0.724690293365203	-0.525606055331904	-1.43882704741102	-0.461365869429942	-0.411956929954472	-1.44741738398429
TRINITY_DN60471_c0_g1	2.07521319406799	1.035184339644	0.777420848839241	0.0332126363975227	-0.83705343399846	-0.83705343399846	-0.572817282954913	-0.83705343399846	-0.83705343399846
TRINITY_DN49998_c0_g1	2.12536867477438	2.90885502023284	2.03482980848663	-1.11088833242203	-0.995595779967579	-1.11810783893511	-1.37632522847113	-1.09181109522688	-1.37632522847113
TRINITY_DN23339_c0_g1	0.780349544509048	1.33451091418424	1.37552513503556	-0.612582968895482	-0.87777225943295	-0.199700354320312	-0.0398742594015591	-0.725639782100016	-1.03481596957853
TRINITY_DN11274_c0_g1	1.26967580244761	2.21267412516986	2.01451708452053	-1.04327973944041	-0.913667001309943	-1.04327973944041	-0.410081053066409	-1.04327973944041	-1.04327973944041
TRINITY_DN23138_c0_g1	-0.858541114741447	-1.15150348306698	-0.330306635855745	-0.573046279471691	0.501458031106158	-0.226902250736384	1.03834532462246	0.199861237460937	1.40063517068269
TRINITY_DN24373_c0_g1	2.14050881485238	1.83619747474754	1.43933557981791	-0.912115797121969	-1.2886609789667	-1.39031105506113	-0.290679205046674	-0.542314148506185	-0.99196068471517
TRINITY_DN7971_c0_g1	1.6147454276879	1.7938046847051	0.961992837424776	-0.447236443153242	-0.802830759926478	-0.876079741957116	-0.80502999059761	-0.737315672001264	-0.702050342182067
TRINITY_DN58850_c0_g1	1.66929187600327	1.6567647781271	0.79055985261423	-0.57123034943872	-0.96091879431531	-1.19603311469167	-0.77272387744928	-0.103149149013183	-0.51256122183644
TRINITY_DN16357_c0_g1	2.0751567730566	0.704205541297064	1.4379990686839	-0.229040373932918	-1.04502427756114	-1.27632087800904	-0.544836357076667	-0.471871687126844	-0.65026780933096
TRINITY_DN29338_c0_g1	0.776466246401883	1.62507618998225	0.563633769090714	-0.362457019999178	-1.03049455052258	-0.745559230131575	0.290881739025911	-0.0625712570241936	-1.05497588682323
TRINITY_DN16837_c0_g1	1.65294511970463	1.88720332967711	1.52714534398107	-1.21830713915062	-1.21830713915062	-1.21830713915062	-0.0657991907857214	-0.803630358723738	-0.542942826401479
TRINITY_DN45285_c0_g1	4.395222312765	4.06696457471589	3.18443803762996	0.259227702780041	-2.42581341637991	-2.8282351384703	-1.66871519490808	-2.42762470982673	-2.55546416830587
TRINITY_DN50707_c0_g1	0.498200040433033	0.616178318937412	0.108591904912259	0.877942886387199	0.414734837161135	-0.123645984963804	-0.637651502841958	-0.98361553318483	-0.770734966840445
TRINITY_DN1250_c0_g1	0.0071959966978401	0.285905471512404	-0.181091214071986	-0.95121938888504	-0.80185721283179	-0.657265021553954	1.17523388859589	0.297848379456838	0.825249101079802
TRINITY_DN23038_c0_g1	-1.49882226592144	-0.982236965790776	-1.57001723115941	0.841313580344939	0.869274424940411	0.537464483467749	0.774161512013645	0.711583131312167	0.317279330792716
TRINITY_DN59877_c0_g1	-0.749767620782596	-0.749767620782596	-0.749767620782596	0.06990056271386	-0.749767620782596	-0.749767620782596	1.48289313600768	0.527622078028268	1.66842232716317
TRINITY_DN62046_c0_g1	-0.908082831007157	-0.908082831007157	-0.908082831007157	0.923794410184516	0.106986490710491	-0.612947582006339	1.10198085233754	0.538173398882407	0.666260922912856
TRINITY_DN60818_c0_g1	0.491904960191645	1.03738613218271	0.733759463381136	-0.820739893861381	-0.487082506391911	-0.591752968855264	0.0757381496685308	-0.340429545548168	-0.0987837907673008
TRINITY_DN19916_c0_g1	1.7079577686075	0.825747772778305	0.751959472038379	-0.372092744737433	-0.91863182763657	-0.457869828658035	-0.394629241886881	-0.496012263976083	-0.646429106529181
TRINITY_DN14264_c0_g1	1.12718521493327	0.920789741565041	0.503534417036379	-1.2501744409644	-0.780065559191884	-0.350411985140151	-0.00826700654332568	0.709504315989302	-0.872094697684229
TRINITY_DN10708_c0_g1	1.50835356361463	0.870852868879733	1.01545509015871	-0.76734792807818	-0.63412675571191	-0.985890080140035	-0.480226627094262	-0.406320838189097	-0.120749293439597
TRINITY_DN20528_c0_g1	0.671743493810442	1.28043358426911	0.731799592064484	-0.411467035384656	-0.673539323783066	-0.337370213319057	-0.306615674804548	-0.422092892224484	-0.532891530628224
TRINITY_DN19755_c0_g1	2.13521763600065	1.33992240177956	1.22702939759201	-0.857915842585512	-1.46463002879506	-1.61789808947669	-0.226786429443326	-0.448285596438261	-0.0866534486333799
TRINITY_DN16090_c0_g1	-1.40624210943874	-0.865438525232123	-0.78371912687956	0.339416140284337	0.106699268243237	-0.97840277382144	1.47380451804794	0.616164303609541	1.4977183051868
TRINITY_DN41480_c0_g1	-0.697443418074357	-1.25235762852974	-1.7290173356891	-0.46812743196399	-0.111902682860133	-1.57524188939106	1.90301487831112	1.56117431233211	2.36990119586515
TRINITY_DN25239_c0_g1	1.0950069833879	1.54066403676425	0.343863329330546	-0.515707116537803	-0.470309465327879	-0.288959875612583	-0.173781587117191	-0.574032543744212	-0.956743761143034
TRINITY_DN32290_c0_g1	1.35310620403061	2.06694924016507	1.57783736618697	-0.659539219785692	-0.463331822789434	-0.980076094660819	-1.02240759236714	-0.743352965942873	-1.12918511483669
TRINITY_DN56535_c0_g1	0.550470524478918	1.6081591832449	0.838047114575503	-0.52540434249621	-0.52540434249621	-0.52540434249621	-0.52540434249621	-0.369655109818265	-0.52540434249621
TRINITY_DN9580_c0_g1	1.20502855710777	1.14144019802242	0.67973310114934	-0.717172514471467	-0.342707196368837	-0.957181479206538	-0.352161326144128	-0.709861544226718	0.0528822041381602
TRINITY_DN49237_c0_g1	-0.354036302231359	0.696250385050295	0.481808747580024	-0.770167663903109	-0.92626185398726	-1.28299105478291	0.8934422522616	0.709494891559786	0.552460598452929
TRINITY_DN26806_c0_g1	2.16931635848092	0.701621034049513	1.59151776600048	-0.466266815527506	-0.997512486590954	-0.896574403238084	-0.0465391461851854	-0.937017446454192	-1.118544860535
