A_Sym_Low_1	B_Sym_Low_2	C_Sym_Low_3	D_Sym_Reg_1	E_Sym_Reg_2	F_Sym_Reg_3	G_Sym_High_1	H_Sym_High_2	I_Sym_High_3
TRINITY_DN1064_c0_g1	-2.15815612226594	-2.55737894956759	-2.0105561354225	0.919573706257124	0.603750741817793	0.438761089345885	1.62768021957029	1.57917239003078	1.55715306023415
TRINITY_DN1164_c0_g1	-1.78563394528588	-1.34781528077513	-1.44143837006558	-0.0398337962241406	0.716938804037962	-0.365740157772487	1.24487684926314	1.60565662903092	1.41298926779121
TRINITY_DN1173_c0_g1	-2.44086723591073	-2.32777661132768	-2.73577693890832	0.864182758794083	0.74562335830538	0.351553290906539	1.81919438110266	2.09675922438289	1.62710777265518
TRINITY_DN1215_c0_g1	-2.33337263407593	-2.43946269400962	-2.46454526906337	1.43260272546085	0.991065953650091	1.22582127159844	1.24927669326346	1.31614306223088	1.02247089094519
TRINITY_DN1217_c0_g1	-2.34565917669251	-1.2666255681135	-1.63442981052834	0.703718890651427	0.778838133577596	0.343500378776231	1.12518745482913	1.33293340590514	0.962536291594837
TRINITY_DN1238_c0_g1	-1.25383609662873	-2.1538021688712	-1.82230398381073	-0.0337266823219808	-0.393685878710477	3.51132827997294	2.84776534011962	-3.50212996150552	2.80039115175607
TRINITY_DN1283_c0_g1	-2.41945762675765	-2.52086510461558	-1.82637849146566	0.685033980908296	0.244045027841644	0.0560891149351672	1.91115516275102	1.94228819259436	1.9280897438084
TRINITY_DN1293_c0_g1	-2.04522049505333	-1.56756540242968	-1.81007940837969	1.04459660134233	0.275315428716096	0.171412778307728	1.12367885096139	1.42288065319008	1.38498099334508
TRINITY_DN1306_c0_g1	-2.36726509477749	-2.18424123791212	-2.33898944517022	0.998395399010031	0.643587618615035	0.577775119048018	1.56368987195217	1.61951801636953	1.48752975286504
TRINITY_DN1313_c0_g1	1.9259368242272	0.255364323451666	1.41216298117534	0.684950744801577	0.628175491508875	-1.57401776548974	-0.739982569660565	-1.3477745855756	-1.24481544443874
TRINITY_DN1330_c0_g1	-2.40648523451779	-1.77299567852967	-2.16463060383486	1.1397437297387	0.485812328686409	0.474350881425577	1.43762229021998	1.40987432182925	1.3967079649824
TRINITY_DN1386_c0_g1	-2.46071983338027	-2.15244953005844	-2.59469562126164	1.08226141305547	0.651272052330171	0.208306111661294	1.65498403072918	1.94529129437506	1.66575008254918
TRINITY_DN1396_c0_g1	-2.32873504725086	-2.06801531063293	-2.37466172906995	0.809872093595541	0.445450045406327	1.43607307968394	1.60632377121819	1.03247089490156	1.44122220214817
TRINITY_DN1417_c0_g1	1.76949587570076	1.28354574215111	1.34742045398204	-0.195954284644017	-0.3203051142482	-1.39651467744173	-0.787268882974903	-1.00364068547083	-0.696778427054237
TRINITY_DN1452_c0_g1	-2.61676321369419	-2.22072226296508	-2.42469779452811	1.19558434378741	0.748662763143701	0.612111246375584	1.50150141955963	1.69387831349955	1.51044518482152
TRINITY_DN1453_c0_g1	1.84767422697067	1.31728780007627	1.35162196984466	1.06227300582151	0.933429663589989	0.628920492651634	-2.66179669917771	-1.64550822021604	-2.83390223956098
TRINITY_DN1978_c0_g1	-1.87288294676489	-1.85301911250044	-2.58095275658623	0.726780027955781	1.00269191689574	0.274064807202469	1.40920445668329	1.53897457425847	1.3551390328558
TRINITY_DN2079_c0_g1	-2.25608123845653	-2.41851147938416	-2.09893739528929	0.788579808155044	0.962039096770344	0.239436013048815	1.56584444131452	1.72122215027684	1.4964086035644
TRINITY_DN2230_c0_g1	-1.28418756637903	-2.06351556638951	-1.81104506073866	0.982754282767081	0.884828401654882	-0.321903818120246	1.21283843701029	1.19309967516438	1.20713121503081
TRINITY_DN2369_c0_g1	-2.40645180025234	-2.35229022062892	-2.09981298260305	1.1657074989392	0.969323628131706	0.126496554726424	1.56428108477649	1.69612955424896	1.33661668266153
TRINITY_DN23_c0_g1	-2.3308460813271	-1.81603120298854	-2.17797245537967	1.00180902419792	1.37610558816971	-0.110556250056371	1.47029214214963	1.47592208921273	1.1112771460217
TRINITY_DN322_c0_g1	-1.1809539114616	-1.77198068930428	-0.92683620653849	0.229774087552704	1.012430718172	-0.126104283523999	0.888206197784116	1.05702117002929	0.818442917290275
TRINITY_DN402_c0_g1	-2.39206541586078	-1.65673482463658	-2.30312330652808	1.02450659584163	0.658018537421324	0.547948694741585	1.35536845672868	1.5451079875228	1.22097327476942
TRINITY_DN602_c0_g1	-1.54875281762615	-1.31765970917919	-1.94571443806832	0.791394235145743	0.897378204180837	0.197986117550434	1.01644291741679	0.769391426928539	1.13953406365132
TRINITY_DN668_c0_g1	-2.54350630536755	-2.78281229028368	-2.39559308454878	0.980515775493567	0.609377783814793	0.822517193844462	1.81262377359547	1.79097976596121	1.7058973874905
TRINITY_DN771_c0_g1	-1.94559591959281	-2.32045304307687	-1.50843846311333	1.37133726275483	1.19402179588623	0.365465760912636	0.784307170267057	1.10683076234411	0.952524673618136
TRINITY_DN788_c0_g1	-2.19472897635417	-1.77606838611235	-2.19041533119967	0.989598381865324	0.809895236794882	0.407857632117379	1.37499284362144	1.30344443412682	1.27542416514035
