TRINITY_DN15041_c0_g1	2.791	3.580	2.925	0.117	0.000	0.000	4.321	3.190	3.549
TRINITY_DN25799_c0_g1	7.344	5.471	7.356	1.604	0.584	0.268	2.396	2.432	1.929
TRINITY_DN28609_c0_g1	8.916	9.166	10.348	1.073	2.084	1.289	5.875	3.741	2.823
TRINITY_DN33218_c0_g1	31.806	16.957	18.288	4.142	2.459	1.031	3.890	2.920	2.674
TRINITY_DN33259_c0_g1	12.906	9.131	8.813	1.976	0.917	0.815	1.614	1.611	1.442
TRINITY_DN34897_c0_g1	18.961	25.807	21.770	2.443	2.146	0.928	10.929	5.871	7.287
TRINITY_DN36512_c0_g1	144.230	134.288	138.386	8.253	11.556	6.178	22.118	13.239	14.077
TRINITY_DN38142_c0_g1	44.178	104.410	45.898	21.700	12.608	10.282	26.179	24.691	16.553
TRINITY_DN48995_c0_g1	5.783	3.449	3.539	0.191	0.625	0.763	0.251	0.790	0.766
TRINITY_DN50973_c0_g1	4.957	1.838	3.529	0.446	0.000	0.433	0.221	1.299	0.756
TRINITY_DN60198_c0_g1	3.103	3.204	3.040	0.701	0.000	0.134	0.682	0.894	0.636
