Low	Reg	High
TRINITY_DN15671_c0_g1	1.14174384048518	-1.18480340611096	0.0430595656257768
TRINITY_DN26573_c0_g1	0.0781950564755975	-0.329466206592445	0.251271150116846
TRINITY_DN31823_c0_g1	1.43809936264597	-1.17291892713853	-0.265180435507435
TRINITY_DN32233_c0_g1	0.493234276385587	-0.293038550348177	-0.20019572603741
TRINITY_DN34099_c0_g1	3.31436335598218	-1.75605719873665	-1.55830615724553
TRINITY_DN37866_c0_g1	2.39411638413149	-1.75727224405044	-0.636844140081056
TRINITY_DN46323_c0_g1	-0.474515774155502	0.101304432644343	0.373211341511158
TRINITY_DN47538_c2_g1	0.575877381189713	-0.520643421404178	-0.0552339597855349
TRINITY_DN47538_c3_g1	0.0905039732081399	0.142525746289465	-0.233029719497605
TRINITY_DN47538_c3_g2	0.414415872071147	-0.447860272318963	0.0334444002478156
TRINITY_DN47538_c3_g3	0.298267931130644	-0.134730105007732	-0.163537826122914
TRINITY_DN48289_c0_g3	0.149606201784483	-0.0340057449271773	-0.115600456857306
TRINITY_DN52951_c0_g1	1.81030275141048	-0.905151375705239	-0.905151375705239
TRINITY_DN55871_c0_g1	1.78112250193057	-0.831713729630408	-0.949408772300163
TRINITY_DN5834_c0_g1	-1.71343771326217	0.52596032830439	1.18747738495778
TRINITY_DN60554_c0_g1	1.3330928540987	-0.666546427049347	-0.666546427049347
TRINITY_DN61636_c0_g1	-0.967352496256673	2.03118851655589	-1.06383602029922
TRINITY_DN62434_c0_g1	1.56168695281166	-0.704914068042327	-0.856772884769332
TRINITY_DN7713_c0_g1	0.992932024304341	-0.849902204968688	-0.143029819335652
TRINITY_DN9215_c0_g1	0.712618693062164	-0.974910605624277	0.262291912562114
