Low	Reg	High
TRINITY_DN1098_c0_g1	0.594536657842751	0.161500590982638	-0.756037248825389
TRINITY_DN11582_c0_g1	1.21606964110092	-0.814564745469662	-0.40150489563126
TRINITY_DN17301_c0_g1	2.20639580965313	-1.23183208807231	-0.974563721580819
TRINITY_DN17357_c0_g1	1.05467783915702	-0.684121230554877	-0.370556608602141
TRINITY_DN17506_c0_g1	1.95011839992093	-1.04598768397458	-0.904130715946356
TRINITY_DN17863_c0_g1	0.751436792556181	-0.992772690431547	0.241335897875366
TRINITY_DN21340_c1_g1	0.861105905213879	-1.21195880564678	0.350852900432898
TRINITY_DN21635_c0_g1	0.825806232925895	-0.693889519938947	-0.131916712986948
TRINITY_DN2179_c0_g1	2.083921783831	-1.09221791355141	-0.991703870279589
TRINITY_DN22555_c0_g1	1.90368726367049	-1.77771552171419	-0.125971741956299
TRINITY_DN23038_c0_g1	-1.34082875104414	0.741583810693476	0.599244940350666
TRINITY_DN25672_c0_g1	1.2575887507772	-0.456217862234949	-0.801370888542247
TRINITY_DN27719_c0_g1	1.53734572950131	-0.995799243242145	-0.54154648625916
TRINITY_DN27900_c0_g1	2.24788420130211	-1.53912047436067	-0.708763726941448
TRINITY_DN28015_c0_g1	2.7762313993919	-1.51609398699258	-1.26013741239932
TRINITY_DN30244_c0_g1	2.00357929070296	-1.47655567879657	-0.527023611906397
TRINITY_DN30348_c0_g1	1.49747078403829	-0.756121930767559	-0.741348853270733
TRINITY_DN30388_c0_g2	0.865473700231841	-0.872345938677903	0.00687223844606155
TRINITY_DN31254_c0_g1	1.11827127155556	-1.30609436335509	0.187823091799528
TRINITY_DN35228_c0_g1	2.69083449044784	-2.04007571165581	-0.650758778792031
TRINITY_DN36035_c0_g1	1.9037037243269	-1.5234761304718	-0.380227593855093
TRINITY_DN37723_c0_g1	2.76887229964572	-1.96960430913998	-0.799267990505744
TRINITY_DN40394_c0_g1	1.0834781901469	-1.13184543673516	0.0483672465882599
TRINITY_DN40635_c0_g1	2.20858624755586	-1.56754334443916	-0.6410429031167
TRINITY_DN40976_c2_g1	1.12592474404171	-0.298659896273402	-0.827264847768312
TRINITY_DN45249_c0_g1	-1.58111337665058	0.176097812685168	1.40501556396541
TRINITY_DN45507_c0_g4	1.41463280164577	-1.39443122561579	-0.0202015760299874
TRINITY_DN48754_c0_g1	0.608837788959928	-0.826790805092163	0.217953016132235
TRINITY_DN5086_c0_g1	-0.98684383524935	0.427751594149862	0.559092241099488
TRINITY_DN56873_c0_g1	0.970249174586415	-0.159173563925741	-0.811075610660673
TRINITY_DN59417_c0_g1	1.35355738558064	-0.67677869279032	-0.67677869279032
TRINITY_DN59801_c0_g1	0.876400947028559	-0.615708605624054	-0.260692341404504
TRINITY_DN6945_c0_g1	1.06649608021206	-0.396831267426434	-0.669664812785627
TRINITY_DN7342_c0_g1	1.22804001374632	-0.834244264508022	-0.393795749238298
TRINITY_DN9257_c0_g1	1.18459191041253	-0.485173034259706	-0.699418876152822
